formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Ho3(AlNi3)2,mp-30791,0.0,6.00120753,0.0,icsd-105154,"{67: 3, 13: 2, 28: 6}","[13, 28, 67]",132286673,Ho3Al2Ni6
Er3(AlNi3)2,mp-17141,0.0,6.03041865,0.0,icsd-607416,"{68: 3, 13: 2, 28: 6}","[13, 28, 68]",132286683,Er3Al2Ni6
Tm3(AlNi3)2,mp-1191848,0.0,5.93196714,0.0,icsd-608911,"{69: 3, 13: 2, 28: 6}","[13, 28, 69]",132286693,Tm3Al2Ni6
Y4Al23Ni6,mp-4847,0.0,7.47033282,0.0,icsd-160933,"{39: 4, 13: 23, 28: 6}","[13, 28, 39]",1323286394,Y4Al23Ni6
Ce4Al23Ni6,mp-582245,0.0,8.01041077,0.0,icsd-240163,"{58: 4, 13: 23, 28: 6}","[13, 28, 58]",1323286584,Ce4Al23Ni6
Sm4Al23Ni6,mp-581770,0.0,7.35338178,0.0,icsd-409777,"{62: 4, 13: 23, 28: 6}","[13, 28, 62]",1323286624,Sm4Al23Ni6
ZrNiH3,mp-29658,0.0,5.79565137,0.0,icsd-638406,"{40: 1, 28: 1, 1: 3}","[1, 28, 40]",13281401,Zr1Ni1H3
Al3Ni,mp-622209,0.0,8.26975877,0.0,icsd-58040,"{13: 3, 28: 1}","[13, 28]",133281,Al3Ni1
Y3Al3NiGe2,mp-10209,0.0,6.08544112,0.0,icsd-76297,"{39: 3, 13: 3, 28: 1, 32: 2}","[13, 28, 32, 39]",133281322393,Y3Al3Ni1Ge2
Er3Al3NiGe2,mp-12388,0.0,6.08918637,0.0,icsd-171194,"{68: 3, 13: 3, 28: 1, 32: 2}","[13, 28, 32, 68]",133281322683,Er3Al3Ni1Ge2
YAl3Ni,mp-4054,0.0,6.39052679,0.0,icsd-160939,"{39: 1, 13: 3, 28: 1}","[13, 28, 39]",133281391,Y1Al3Ni1
SmAl3Ni,mp-1208898,0.0,6.2647745,0.0,pf-20269,"{62: 1, 13: 3, 28: 1}","[13, 28, 62]",133281621,Sm1Al3Ni1
Al3Ni2,mp-1057,0.0,7.84452714,0.0,icsd-608786,"{13: 3, 28: 2}","[13, 28]",133282,Al3Ni2
YAl3Ni2,mp-5063,0.0,6.95556471,0.0,icsd-54425,"{39: 1, 13: 3, 28: 2}","[13, 28, 39]",133282391,Y1Al3Ni2
LaAl3Ni2,mp-1211232,0.0,8.12975613,0.0,pf-19163,"{57: 1, 13: 3, 28: 2}","[13, 28, 57]",133282571,La1Al3Ni2
