formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Na7AlH2C4(O3F)4,mp-707443,4.805499999999999,0.44492619,0.0,icsd-77052,"{11: 7, 13: 1, 1: 2, 6: 4, 8: 12, 9: 4}","[1, 6, 8, 9, 11, 13]",126481294117131,Na7Al1H2C4O12F4
AlH2PbO2F3,mp-643387,4.496700000000001,1.65498767,0.0,icsd-79740,"{13: 1, 1: 2, 82: 1, 8: 2, 9: 3}","[1, 8, 9, 13, 82]",128293131821,Al1H2Pb1O2F3
Na3AlP2H2O9,mp-707530,4.4885,1.41451728,0.0,icsd-84643,"{11: 3, 13: 1, 15: 2, 1: 2, 8: 9}","[1, 8, 11, 13, 15]",1289113131152,Na3Al1P2H2O9
Al,mp-134,0.0,7.05880371,0.0,icsd-182727,{13: 1},[13],131,Al1
Y(Al5Fe)2,mp-16744,0.0,7.51321436,0.0,icsd-710082,"{39: 1, 13: 10, 26: 2}","[13, 26, 39]",1310262391,Y1Al10Fe2
Ce(Al5Fe)2,mp-1193938,0.0,8.27526243,0.0,icsd-188958,"{58: 1, 13: 10, 26: 2}","[13, 26, 58]",1310262581,Ce1Al10Fe2
Tb(Al5Fe)2,mp-1193564,0.0,7.50112403,0.0,icsd-190779,"{65: 1, 13: 10, 26: 2}","[13, 26, 65]",1310262651,Tb1Al10Fe2
Dy(Al5Fe)2,mp-1213056,0.0,7.49337862,0.0,pf-25155,"{66: 1, 13: 10, 26: 2}","[13, 26, 66]",1310262661,Dy1Al10Fe2
Ho(Al5Fe)2,mp-1212162,0.0,7.45741825,0.0,pf-35643,"{67: 1, 13: 10, 26: 2}","[13, 26, 67]",1310262671,Ho1Al10Fe2
Er(Al5Fe)2,mp-1212845,0.0,7.55718539,0.0,pf-4194,"{68: 1, 13: 10, 26: 2}","[13, 26, 68]",1310262681,Er1Al10Fe2
Tm(Al5Fe)2,mp-1208007,0.0,7.50156234,0.0,pf-14701,"{69: 1, 13: 10, 26: 2}","[13, 26, 69]",1310262691,Tm1Al10Fe2
Lu(Al5Fe)2,mp-1210893,0.0,7.4519779,0.0,pf-35726,"{71: 1, 13: 10, 26: 2}","[13, 26, 71]",1310262711,Lu1Al10Fe2
Th(Al5Fe)2,mp-568030,0.0,8.18116983,0.0,icsd-152354,"{90: 1, 13: 10, 26: 2}","[13, 26, 90]",1310262901,Th1Al10Fe2
U(Al5Fe)2,mp-20548,0.0,8.52316804,0.0,icsd-155072,"{92: 1, 13: 10, 26: 2}","[13, 26, 92]",1310262921,U1Al10Fe2
Y(Al5Ru)2,mp-1207698,0.0,7.64651729,0.0,pf-13372,"{39: 1, 13: 10, 44: 2}","[13, 39, 44]",1310391442,Y1Al10Ru2
Y(Al5Re)2,mp-1207859,0.0,7.38063396,0.0,pf-26142,"{39: 1, 13: 10, 75: 2}","[13, 39, 75]",1310391752,Y1Al10Re2
La(Al5Ru)2,mp-1211269,0.0,8.25604874,0.0,pf-23893,"{57: 1, 13: 10, 44: 2}","[13, 44, 57]",1310442571,La1Al10Ru2
Ce(Al5Ru)2,mp-31364,0.0,8.27001863,0.0,icsd-59912,"{58: 1, 13: 10, 44: 2}","[13, 44, 58]",1310442581,Ce1Al10Ru2
Pr(Al5Ru)2,mp-1193957,0.0,7.64039613,0.0,icsd-186913,"{59: 1, 13: 10, 44: 2}","[13, 44, 59]",1310442591,Pr1Al10Ru2
Nd(Al5Ru)2,mp-1209876,0.0,7.55712955,0.0,pf-13439,"{60: 1, 13: 10, 44: 2}","[13, 44, 60]",1310442601,Nd1Al10Ru2
Sm(Al5Ru)2,mp-1208900,0.0,7.5730189,0.0,pf-23964,"{62: 1, 13: 10, 44: 2}","[13, 44, 62]",1310442621,Sm1Al10Ru2
Gd(Al5Ru)2,mp-1192913,0.0,7.59813137,0.0,icsd-186914,"{64: 1, 13: 10, 44: 2}","[13, 44, 64]",1310442641,Gd1Al10Ru2
Tb(Al5Ru)2,mp-1208361,0.0,7.58220056,0.0,pf-2988,"{65: 1, 13: 10, 44: 2}","[13, 44, 65]",1310442651,Tb1Al10Ru2
Ho(Al5Ru)2,mp-1212388,0.0,7.56033251,0.0,pf-13509,"{67: 1, 13: 10, 44: 2}","[13, 44, 67]",1310442671,Ho1Al10Ru2
Er(Al5Ru)2,mp-1212826,0.0,7.55604637,0.0,pf-24026,"{68: 1, 13: 10, 44: 2}","[13, 44, 68]",1310442681,Er1Al10Ru2
U(Al5Ru)2,mp-1193796,0.0,8.88020462,0.0,icsd-182114,"{92: 1, 13: 10, 44: 2}","[13, 44, 92]",1310442921,U1Al10Ru2
Ba7Al10,mp-570400,0.0,3.81180333,0.0,icsd-420092,"{56: 7, 13: 10}","[13, 56]",1310567,Ba7Al10
Pr(Al5Os)2,mp-1209309,0.0,7.65669709,0.0,pf-12152,"{59: 1, 13: 10, 76: 2}","[13, 59, 76]",1310591762,Pr1Al10Os2
Nd(Al5Os)2,mp-1209871,0.0,7.58345198,0.0,pf-22693,"{60: 1, 13: 10, 76: 2}","[13, 60, 76]",1310601762,Nd1Al10Os2
Tb(Al5Re)2,mp-1208386,0.0,7.28604873,0.0,pf-23461,"{65: 1, 13: 10, 75: 2}","[13, 65, 75]",1310651752,Tb1Al10Re2
Dy(Al5Re)2,mp-1213146,0.0,7.2585897,0.0,pf-15638,"{66: 1, 13: 10, 75: 2}","[13, 66, 75]",1310661752,Dy1Al10Re2
Ho(Al5Re)2,mp-1212490,0.0,7.30179498,0.0,pf-26214,"{67: 1, 13: 10, 75: 2}","[13, 67, 75]",1310671752,Ho1Al10Re2
Er(Al5Re)2,mp-1213047,0.0,7.28631566,0.0,pf-36724,"{68: 1, 13: 10, 75: 2}","[13, 68, 75]",1310681752,Er1Al10Re2
Tm(Al5Re)2,mp-1208145,0.0,7.338888,0.0,pf-5255,"{69: 1, 13: 10, 75: 2}","[13, 69, 75]",1310691752,Tm1Al10Re2
Lu(Al5Re)2,mp-1211408,0.0,7.31208571,0.0,pf-26297,"{71: 1, 13: 10, 75: 2}","[13, 71, 75]",1310711752,Lu1Al10Re2
Lu(Al5Os)2,mp-1192563,0.0,7.58812008,0.0,icsd-238041,"{71: 1, 13: 10, 76: 2}","[13, 71, 76]",1310711762,Lu1Al10Os2
Al11(CoSi)6,mp-1214980,0.0,8.5524078,0.0,pf-11787,"{13: 11, 27: 6, 14: 6}","[13, 14, 27]",1311146276,Al11Co6Si6
Mn4Al11,mp-2856,0.0,7.87858887,0.0,icsd-10509,"{25: 4, 13: 11}","[13, 25]",1311254,Mn4Al11
CaAlSi,mp-567191,0.0,5.28209704,0.0,icsd-155192,"{20: 1, 13: 1, 14: 1}","[13, 14, 20]",131141201,Ca1Al1Si1
SrAlSi,mp-3698,0.0,4.45072699,0.0,icsd-162865,"{38: 1, 13: 1, 14: 1}","[13, 14, 38]",131141381,Sr1Al1Si1
YAlSi,mp-31080,0.0,6.31935613,0.0,icsd-99138,"{39: 1, 13: 1, 14: 1}","[13, 14, 39]",131141391,Y1Al1Si1
BaAlSi,mp-13149,0.0,3.97888423,0.0,icsd-162866,"{56: 1, 13: 1, 14: 1}","[13, 14, 56]",131141561,Ba1Al1Si1
CeAlSi,mp-1206597,0.0,7.38424189,0.0,pf-36654,"{58: 1, 13: 1, 14: 1}","[13, 14, 58]",131141581,Ce1Al1Si1
SmAlSi,mp-12804,0.0,5.96446281,0.0,icsd-151717,"{62: 1, 13: 1, 14: 1}","[13, 14, 62]",131141621,Sm1Al1Si1
DyAlSi,mp-1206330,0.0,6.27242127,0.0,pf-296,"{66: 1, 13: 1, 14: 1}","[13, 14, 66]",131141661,Dy1Al1Si1
HoAlSi,mp-1206025,0.0,6.23170319,0.0,pf-10826,"{67: 1, 13: 1, 14: 1}","[13, 14, 67]",131141671,Ho1Al1Si1
ErAlSi,mp-1206326,0.0,6.28936298,0.0,pf-22560,"{68: 1, 13: 1, 14: 1}","[13, 14, 68]",131141681,Er1Al1Si1
TmAlSi,mp-571506,0.0,6.29925639,0.0,icsd-415372,"{69: 1, 13: 1, 14: 1}","[13, 14, 69]",131141691,Tm1Al1Si1
LuAlSi,mp-567229,0.0,6.35964766,0.0,icsd-415373,"{71: 1, 13: 1, 14: 1}","[13, 14, 71]",131141711,Lu1Al1Si1
Sc2AlSi2,mp-10676,0.0,7.0677018,0.0,icsd-52653,"{21: 2, 13: 1, 14: 2}","[13, 14, 21]",131142212,Sc2Al1Si2
Al(CoSi)2,mp-10010,0.0,9.14765148,0.0,icsd-43353,"{13: 1, 27: 2, 14: 2}","[13, 14, 27]",131142272,Al1Co2Si2
Y2AlSi2,mp-10527,0.0,5.71516606,0.0,icsd-92450,"{39: 2, 13: 1, 14: 2}","[13, 14, 39]",131142392,Y2Al1Si2
LaAlSi2,mp-5330,0.0,7.81416942,0.0,icsd-94501,"{57: 1, 13: 1, 14: 2}","[13, 14, 57]",131142571,La1Al1Si2
PrAlSi2,mp-571554,0.0,6.19761853,0.0,icsd-152802,"{59: 1, 13: 1, 14: 2}","[13, 14, 59]",131142591,Pr1Al1Si2
