formula,material_id,band_gap,efermi,energy_above_hull,database_IDs,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
Ba3(AlSi)2,mp-9578,0.0,3.40416337,0.0,icsd-100128,"{56: 3, 13: 2, 14: 2}","[13, 14, 56]",132142563,Ba3Al2Si2
La(AlSi)2,mp-1206998,0.0,7.32187957,0.0,pf-8659,"{57: 1, 13: 2, 14: 2}","[13, 14, 57]",132142571,La1Al2Si2
Pr(AlSi)2,mp-12856,0.0,6.08302819,0.0,icsd-152800,"{59: 1, 13: 2, 14: 2}","[13, 14, 59]",132142591,Pr1Al2Si2
Eu(AlSi)2,mp-20595,0.0,5.50291486,0.0,icsd-67353,"{63: 1, 13: 2, 14: 2}","[13, 14, 63]",132142631,Eu1Al2Si2
Gd(AlSi)2,mp-8651,0.0,6.13996983,0.0,icsd-41180,"{64: 1, 13: 2, 14: 2}","[13, 14, 64]",132142641,Gd1Al2Si2
Tb(AlSi)2,mp-10436,0.0,6.34267635,0.0,icsd-89552,"{65: 1, 13: 2, 14: 2}","[13, 14, 65]",132142651,Tb1Al2Si2
Dy(AlSi)2,mp-7121,0.0,6.36373541,0.0,icsd-89553,"{66: 1, 13: 2, 14: 2}","[13, 14, 66]",132142661,Dy1Al2Si2
Al2(FeSi)3,mp-29110,0.0,9.19456907,0.0,icsd-83664,"{13: 2, 26: 3, 14: 3}","[13, 14, 26]",132143263,Al2Fe3Si3
Y2Al3Si2,mp-9177,0.0,6.62346836,0.0,icsd-75228,"{39: 2, 13: 3, 14: 2}","[13, 14, 39]",133142392,Y2Al3Si2
Tb2Al3Si2,mp-3194,0.0,6.49159911,0.0,icsd-415146,"{65: 2, 13: 3, 14: 2}","[13, 14, 65]",133142652,Tb2Al3Si2
Dy2Al3Si2,mp-3513,0.0,6.52151719,0.0,icsd-415149,"{66: 2, 13: 3, 14: 2}","[13, 14, 66]",133142662,Dy2Al3Si2
Ho2Al3Si2,mp-3328,0.0,6.54797123,0.0,icsd-87610,"{67: 2, 13: 3, 14: 2}","[13, 14, 67]",133142672,Ho2Al3Si2
Er2Al3Si2,mp-12004,0.0,6.59075794,0.0,icsd-415148,"{68: 2, 13: 3, 14: 2}","[13, 14, 68]",133142682,Er2Al3Si2
Tm2Al3Si2,mp-12005,0.0,6.60783039,0.0,icsd-415150,"{69: 2, 13: 3, 14: 2}","[13, 14, 69]",133142692,Tm2Al3Si2
CeAl4Si2Rh,mp-1078224,0.0,8.09206659,0.0,icsd-193819,"{58: 1, 13: 4, 14: 2, 45: 1}","[13, 14, 45, 58]",134142451581,Ce1Al4Si2Rh1
CeAl4Si2Ir,mp-1078427,0.0,8.21236636,0.0,icsd-193820,"{58: 1, 13: 4, 14: 2, 77: 1}","[13, 14, 58, 77]",134142581771,Ce1Al4Si2Ir1
Th2Al4Si2Au3,mp-1208226,0.0,7.33182199,0.0,pf-24733,"{90: 2, 13: 4, 14: 2, 79: 3}","[13, 14, 79, 90]",134142793902,Th2Al4Si2Au3
Zr5Si6H36C12(Br10O3)2,mp-1196506,2.1936999999999998,-1.26530714,0.0,icsd-245733,"{40: 5, 14: 6, 1: 36, 6: 12, 35: 20, 8: 6}","[1, 6, 8, 14, 35, 40]",136612861463520405,Zr5Si6H36C12Br20O6
Y12Al7Si,mp-1207790,0.0,4.01126807,0.0,pf-39314,"{39: 12, 13: 7, 14: 1}","[13, 14, 39]",1371413912,Y12Al7Si1
Tm12Al7Si,mp-1208126,0.0,3.8984483,0.0,pf-16918,"{69: 12, 13: 7, 14: 1}","[13, 14, 69]",1371416912,Tm12Al7Si1
Sc3Mn3Al7Si5,mp-1194721,0.0,8.02655936,0.0,icsd-426711,"{21: 3, 25: 3, 13: 7, 14: 5}","[13, 14, 21, 25]",137145213253,Sc3Mn3Al7Si5
SmAl8SiAu4,mp-1208872,0.0,6.56202047,0.0,pf-11173,"{62: 1, 13: 8, 14: 1, 79: 4}","[13, 14, 62, 79]",138141621794,Sm1Al8Si1Au4
U6Al8Fe5Si9,mp-1193401,0.0,9.66068272,0.0,icsd-183358,"{92: 6, 13: 8, 26: 5, 14: 9}","[13, 14, 26, 92]",138149265926,U6Al8Fe5Si9
Mn3Al9Si,mp-15819,0.0,8.40081373,0.0,icsd-76249,"{25: 3, 13: 9, 14: 1}","[13, 14, 25]",139141253,Mn3Al9Si1
