formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
ThB2C,mp-2997,0.0,8.38784042,0.0,"{90: 1, 5: 2, 6: 1}","[5, 6, 90]",5261901,Th1B2C1
Mg(BC)2,mp-3582,1.0168999999999997,4.83258861,0.0,"{12: 1, 5: 2, 6: 2}","[5, 6, 12]",5262121,Mg1B2C2
Ca(BC)2,mp-10289,0.4750999999999994,4.51458841,0.0,"{20: 1, 5: 2, 6: 2}","[5, 6, 20]",5262201,Ca1B2C2
La(BC)2,mp-10852,0.0,8.77322625,0.0,"{57: 1, 5: 2, 6: 2}","[5, 6, 57]",5262571,La1B2C2
Ce(BC)2,mp-20908,0.0,8.25102507,0.0,"{58: 1, 5: 2, 6: 2}","[5, 6, 58]",5262581,Ce1B2C2
Pr(BC)2,mp-10853,0.0,6.15133042,0.0,"{59: 1, 5: 2, 6: 2}","[5, 6, 59]",5262591,Pr1B2C2
Nd(BC)2,mp-5765,0.0,6.11441374,0.0,"{60: 1, 5: 2, 6: 2}","[5, 6, 60]",5262601,Nd1B2C2
Sm(BC)2,mp-6916,0.0,6.00662803,0.0,"{62: 1, 5: 2, 6: 2}","[5, 6, 62]",5262621,Sm1B2C2
Gd(BC)2,mp-1080176,0.0,5.24867351,0.0,"{64: 1, 5: 2, 6: 2}","[5, 6, 64]",5262641,Gd1B2C2
Tb(BC)2,mp-10854,0.0,6.32904791,0.0,"{65: 1, 5: 2, 6: 2}","[5, 6, 65]",5262651,Tb1B2C2
Dy(BC)2,mp-2958,0.0,6.32878288,0.0,"{66: 1, 5: 2, 6: 2}","[5, 6, 66]",5262661,Dy1B2C2
Ho(BC)2,mp-20410,0.0,6.29676941,0.0,"{67: 1, 5: 2, 6: 2}","[5, 6, 67]",5262671,Ho1B2C2
Er(BC)2,mp-10856,0.0,6.34997087,0.0,"{68: 1, 5: 2, 6: 2}","[5, 6, 68]",5262681,Er1B2C2
Ce6B2(CBr)3,mp-570060,0.0,7.19185867,0.0,"{58: 6, 5: 2, 6: 3, 35: 3}","[5, 6, 35, 58]",5263353586,Ce6B2C3Br3
Ca9B2(CCl2)4,mp-569892,1.3725999999999998,3.66048832,0.0,"{20: 9, 5: 2, 6: 4, 17: 8}","[5, 6, 17, 20]",5264178209,Ca9B2C4Cl8
Dy5B2C5,mp-18628,0.0,4.39995869,0.0,"{66: 5, 5: 2, 6: 5}","[5, 6, 66]",5265665,Dy5B2C5
Ca4Mn3B3CO15,mp-532650,1.4971000000000005,2.99513436,0.0,"{20: 4, 25: 3, 5: 3, 6: 1, 8: 15}","[5, 6, 8, 20, 25]",5361815204253,Ca4Mn3B3C1O15
Gd2B3C2,mp-28702,0.0,4.93516061,0.0,"{64: 2, 5: 3, 6: 2}","[5, 6, 64]",5362642,Gd2B3C2
Gd4B3C4,mp-29821,0.0,4.54251876,0.0,"{64: 4, 5: 3, 6: 4}","[5, 6, 64]",5364644,Gd4B3C4
Tm4B3C4,mp-1095577,0.0,4.81187063,0.0,"{69: 4, 5: 3, 6: 4}","[5, 6, 69]",5364694,Tm4B3C4
Lu4B3C4,mp-567908,0.0,4.80904977,0.0,"{71: 4, 5: 3, 6: 4}","[5, 6, 71]",5364714,Lu4B3C4
Mg3Si9B36C,mp-1222229,1.0420000000000007,5.72168316,0.0,"{12: 3, 14: 9, 5: 36, 6: 1}","[5, 6, 12, 14]",53661123149,Mg3Si9B36C1
Dy2Si9B36C,mp-1225372,1.1721999999999992,6.61601066,0.0,"{66: 2, 14: 9, 5: 36, 6: 1}","[5, 6, 14, 66]",53661149662,Dy2Si9B36C1
Tm2Si9B36C,mp-1216853,1.2088999999999999,6.635513,0.0,"{69: 2, 14: 9, 5: 36, 6: 1}","[5, 6, 14, 69]",53661149692,Tm2Si9B36C1
Lu2Si9B36C,mp-1222448,1.2246000000000006,6.64560413,0.0,"{71: 2, 14: 9, 5: 36, 6: 1}","[5, 6, 14, 71]",53661149712,Lu2Si9B36C1
La9B3C6Br5,mp-624186,0.0,7.4716006,0.0,"{57: 9, 5: 3, 6: 6, 35: 5}","[5, 6, 35, 57]",5366355579,La9B3C6Br5
Ce9B3C6Br5,mp-680283,0.0,6.9492658,0.0,"{58: 9, 5: 3, 6: 6, 35: 5}","[5, 6, 35, 58]",5366355589,Ce9B3C6Br5
La9B3C6I5,mp-679979,0.0,7.96362309,0.0,"{57: 9, 5: 3, 6: 6, 53: 5}","[5, 6, 53, 57]",5366535579,La9B3C6I5
B4C,mp-1238815,3.0415,5.1070427,0.0,"{5: 4, 6: 1}","[5, 6]",5461,B4C1
Tb2B4C,mp-1025379,0.0,5.15406189,0.0,"{65: 2, 5: 4, 6: 1}","[5, 6, 65]",5461652,Tb2B4C1
Dy2B4C,mp-568541,0.0,5.12844442,0.0,"{66: 2, 5: 4, 6: 1}","[5, 6, 66]",5461662,Dy2B4C1
Ho2B4C,mp-1025183,0.0,5.06999436,0.0,"{67: 2, 5: 4, 6: 1}","[5, 6, 67]",5461672,Ho2B4C1
Er2B4C,mp-1025246,0.0,5.11131782,0.0,"{68: 2, 5: 4, 6: 1}","[5, 6, 68]",5461682,Er2B4C1
Nb7(BC)4,mp-29981,0.0,7.18205293,0.0,"{41: 7, 5: 4, 6: 4}","[5, 6, 41]",5464417,Nb7B4C4
Th2Sc(B2C)3,mp-1208224,0.0,7.66929565,0.0,"{90: 2, 21: 1, 5: 6, 6: 3}","[5, 6, 21, 90]",5663211902,Th2Sc1B6C3
C,mp-2516584,0.10210000000000008,2.43154306,0.0,{6: 1},[6],61,C1
NaW6CCl18,mp-567182,0.1048,2.13295179,0.0,"{11: 1, 74: 6, 6: 1, 17: 18}","[6, 11, 17, 74]",611111718746,Na1W6C1Cl18
MgCo3C,mp-20424,0.0,5.14843556,0.0,"{12: 1, 27: 3, 6: 1}","[6, 12, 27]",61121273,Mg1Co3C1
MgNi3C,mp-10700,0.0,6.56970386,0.0,"{12: 1, 28: 3, 6: 1}","[6, 12, 28]",61121283,Mg1Ni3C1
Gd6Mg23C,mp-1192643,0.0,3.21469784,0.0,"{64: 6, 12: 23, 6: 1}","[6, 12, 64]",611223646,Gd6Mg23C1
Sc3AlC,mp-4079,0.0,4.49284498,0.0,"{21: 3, 13: 1, 6: 1}","[6, 13, 21]",61131213,Sc3Al1C1
TaTiAlC,mp-1217909,0.0,6.87832994,0.0,"{73: 1, 22: 1, 13: 1, 6: 1}","[6, 13, 22, 73]",61131221731,Ta1Ti1Al1C1
Ti2AlC,mp-12990,0.0,6.78520972,0.0,"{22: 2, 13: 1, 6: 1}","[6, 13, 22]",61131222,Ti2Al1C1
Ti3AlC,mp-3271,0.0,6.78068226,0.0,"{22: 3, 13: 1, 6: 1}","[6, 13, 22]",61131223,Ti3Al1C1
AlV2C,mp-1025497,0.0,7.13861002,0.0,"{13: 1, 23: 2, 6: 1}","[6, 13, 23]",61131232,Al1V2C1
AlCr2C,mp-9956,0.0,7.77866002,0.0,"{13: 1, 24: 2, 6: 1}","[6, 13, 24]",61131242,Al1Cr2C1
Mn3AlC,mp-4593,0.0,7.07086969,0.0,"{25: 3, 13: 1, 6: 1}","[6, 13, 25]",61131253,Mn3Al1C1
