formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
NaLiS,mp-8452,2.2642,1.39127935,0.0,"{11: 1, 3: 1, 16: 1}","[3, 11, 16]",31111161,Na1Li1S1
NaLiZnS2,mp-1220972,1.8297999999999999,3.35318957,0.0,"{11: 1, 3: 1, 30: 1, 16: 2}","[3, 11, 16, 30]",31111162301,Na1Li1Zn1S2
NaLiCdS2,mp-1220967,1.6168999999999998,2.6993877,0.0,"{11: 1, 3: 1, 48: 1, 16: 2}","[3, 11, 16, 48]",31111162481,Na1Li1Cd1S2
NaLiSe,mp-28603,2.4375,0.99159548,0.0,"{11: 1, 3: 1, 34: 1}","[3, 11, 34]",31111341,Na1Li1Se1
NaLiTe,mp-8754,2.2840000000000003,2.24830202,0.0,"{11: 1, 3: 1, 52: 1}","[3, 11, 52]",31111521,Na1Li1Te1
Na2LiAlP2,mp-9719,1.8853000000000004,3.04693469,0.0,"{11: 2, 3: 1, 13: 1, 15: 2}","[3, 11, 13, 15]",31112131152,Na2Li1Al1P2
Na2LiGaAs2,mp-9722,0.6841999999999997,2.40321346,0.0,"{11: 2, 3: 1, 31: 1, 33: 2}","[3, 11, 31, 33]",31112311332,Na2Li1Ga1As2
Na2LiAu3,mp-12815,0.0,3.22743742,0.0,"{11: 2, 3: 1, 79: 3}","[3, 11, 79]",31112793,Na2Li1Au3
LiMg,mp-1185380,0.0,1.78815973,0.0,"{3: 1, 12: 1}","[3, 12]",31121,Li1Mg1
Sr2LiMgSi3,mp-1218749,0.0,3.91056653,0.0,"{38: 2, 3: 1, 12: 1, 14: 3}","[3, 12, 14, 38]",31121143382,Sr2Li1Mg1Si3
LiMgP,mp-36111,1.5391000000000004,2.80762785,0.0,"{3: 1, 12: 1, 15: 1}","[3, 12, 15]",31121151,Li1Mg1P1
LiCa10MgSb9,mp-569282,0.9226000000000001,4.28053815,0.0,"{3: 1, 20: 10, 12: 1, 51: 9}","[3, 12, 20, 51]",311212010519,Li1Ca10Mg1Sb9
LiMgAs,mp-12558,1.3722999999999996,2.37069355,0.0,"{3: 1, 12: 1, 33: 1}","[3, 12, 33]",31121331,Li1Mg1As1
LiMgSnPd,mp-7555,0.0,6.48285224,0.0,"{3: 1, 12: 1, 50: 1, 46: 1}","[3, 12, 46, 50]",31121461501,Li1Mg1Sn1Pd1
LiMgPd2,mp-977399,0.0,3.72288492,0.0,"{3: 1, 12: 1, 46: 2}","[3, 12, 46]",31121462,Li1Mg1Pd2
LiMgAg2,mp-1185364,0.0,2.94838845,0.0,"{3: 1, 12: 1, 47: 2}","[3, 12, 47]",31121472,Li1Mg1Ag2
LiMgIn2,mp-1185368,0.0,5.62825136,0.0,"{3: 1, 12: 1, 49: 2}","[3, 12, 49]",31121492,Li1Mg1In2
LiMgSnPt,mp-11806,0.0,7.23081837,0.0,"{3: 1, 12: 1, 50: 1, 78: 1}","[3, 12, 50, 78]",31121501781,Li1Mg1Sn1Pt1
LiMgSb,mp-1207082,1.4438,3.11473034,0.0,"{3: 1, 12: 1, 51: 1}","[3, 12, 51]",31121511,Li1Mg1Sb1
LiMgAu2,mp-977418,0.0,4.00597358,0.0,"{3: 1, 12: 1, 79: 2}","[3, 12, 79]",31121792,Li1Mg1Au2
LiMgTl2,mp-864597,0.0,4.84054886,0.0,"{3: 1, 12: 1, 81: 2}","[3, 12, 81]",31121812,Li1Mg1Tl2
LiMgPb2,mp-1185374,0.0,5.24613695,0.0,"{3: 1, 12: 1, 82: 2}","[3, 12, 82]",31121822,Li1Mg1Pb2
LiMgBi,mp-570213,0.35870000000000024,3.01990139,0.0,"{3: 1, 12: 1, 83: 1}","[3, 12, 83]",31121831,Li1Mg1Bi1
LiMg2,mp-865939,0.0,2.4798649,0.0,"{3: 1, 12: 2}","[3, 12]",31122,Li1Mg2
LiMg2Zn,mp-864762,0.0,2.89270127,0.0,"{3: 1, 12: 2, 30: 1}","[3, 12, 30]",31122301,Li1Mg2Zn1
LiMg2Rh,mp-864601,0.0,3.59590582,0.0,"{3: 1, 12: 2, 45: 1}","[3, 12, 45]",31122451,Li1Mg2Rh1
LiMg2Pd,mp-977380,0.0,3.4955535,0.0,"{3: 1, 12: 2, 46: 1}","[3, 12, 46]",31122461,Li1Mg2Pd1
LiMg2Ag,mp-864598,0.0,3.04871526,0.0,"{3: 1, 12: 2, 47: 1}","[3, 12, 47]",31122471,Li1Mg2Ag1
LiMg2Cd,mp-1185359,0.0,2.801289,0.0,"{3: 1, 12: 2, 48: 1}","[3, 12, 48]",31122481,Li1Mg2Cd1
LiMg2Ir,mp-1232420,0.0,4.34331866,0.0,"{3: 1, 12: 2, 77: 1}","[3, 12, 77]",31122771,Li1Mg2Ir1
LiMg2Pt,mp-864614,0.0,4.25124687,0.0,"{3: 1, 12: 2, 78: 1}","[3, 12, 78]",31122781,Li1Mg2Pt1
LiMg2Au,mp-1185365,0.0,3.82338118,0.0,"{3: 1, 12: 2, 79: 1}","[3, 12, 79]",31122791,Li1Mg2Au1
LiAl,mp-1067,0.0,4.71681619,0.0,"{3: 1, 13: 1}","[3, 13]",31131,Li1Al1
LiAlSi,mp-3161,0.11209999999999987,4.89920206,0.0,"{3: 1, 13: 1, 14: 1}","[3, 13, 14]",31131141,Li1Al1Si1
LiAl(PS3)2,mp-1188124,2.749,2.32661532,0.0,"{3: 1, 13: 1, 15: 2, 16: 6}","[3, 13, 15, 16]",31131152166,Li1Al1P2S6
K2LiAlP2,mp-6450,1.8853,2.54664006,0.0,"{19: 2, 3: 1, 13: 1, 15: 2}","[3, 13, 15, 19]",31131152192,K2Li1Al1P2
LiAlS2,mp-1106183,4.1061000000000005,5.75541248,0.0,"{3: 1, 13: 1, 16: 2}","[3, 13, 16]",31131162,Li1Al1S2
LiAlCl4,mp-22983,5.5616,-1.38237934,0.0,"{3: 1, 13: 1, 17: 4}","[3, 13, 17]",31131174,Li1Al1Cl4
LiCa2Al,mp-862632,0.0,2.40985658,0.0,"{3: 1, 20: 2, 13: 1}","[3, 13, 20]",31131202,Li1Ca2Al1
LiAlGe,mp-5920,0.05269999999999975,4.9768912,0.0,"{3: 1, 13: 1, 32: 1}","[3, 13, 32]",31131321,Li1Al1Ge1
LiAlSe2,mp-7117,3.0233,1.23473877,0.0,"{3: 1, 13: 1, 34: 2}","[3, 13, 34]",31131342,Li1Al1Se2
LiAlRh2,mp-862297,0.0,5.55971967,0.0,"{3: 1, 13: 1, 45: 2}","[3, 13, 45]",31131452,Li1Al1Rh2
LiAlPd2,mp-867820,0.0,5.56336261,0.0,"{3: 1, 13: 1, 46: 2}","[3, 13, 46]",31131462,Li1Al1Pd2
LiAlAg2,mp-11947,0.0,5.00448206,0.0,"{3: 1, 13: 1, 47: 2}","[3, 13, 47]",31131472,Li1Al1Ag2
LiAlTe2,mp-4586,2.4411,2.55454027,0.0,"{3: 1, 13: 1, 52: 2}","[3, 13, 52]",31131522,Li1Al1Te2
LiTm2Al,mp-867873,0.0,3.09208423,0.0,"{3: 1, 69: 2, 13: 1}","[3, 13, 69]",31131692,Li1Tm2Al1
LiAlPt2,mp-862296,0.0,7.09136783,0.0,"{3: 1, 13: 1, 78: 2}","[3, 13, 78]",31131782,Li1Al1Pt2
LiAlAu2,mp-862717,0.0,5.58062537,0.0,"{3: 1, 13: 1, 79: 2}","[3, 13, 79]",31131792,Li1Al1Au2
LiAl2Ni,mp-862318,0.0,7.94366625,0.0,"{3: 1, 13: 2, 28: 1}","[3, 13, 28]",31132281,Li1Al2Ni1
LiAl2Rh,mp-30821,0.0,7.03547348,0.0,"{3: 1, 13: 2, 45: 1}","[3, 13, 45]",31132451,Li1Al2Rh1
LiAl2Pd,mp-30817,0.0,7.66538372,0.0,"{3: 1, 13: 2, 46: 1}","[3, 13, 46]",31132461,Li1Al2Pd1
LiAl2Ir,mp-11512,0.0,7.66293874,0.0,"{3: 1, 13: 2, 77: 1}","[3, 13, 77]",31132771,Li1Al2Ir1
