formula,material_id,band_gap,efermi,energy_above_hull,comp_atoms,sorted_keys_comp_atoms,comp_number,new_formula
NiH6C2(SN2)2,mp-41012,0.5680999999999998,1.46629342,0.12735270613889416,"{28: 1, 1: 6, 6: 2, 16: 2, 7: 4}","[1, 6, 7, 16, 28]",166274162281,Ni1H6C2S2N4
Nb3NiS6,mp-1173526,0.0,5.91423451,0.0,"{41: 3, 28: 1, 16: 6}","[16, 28, 41]",166281413,Nb3Ni1S6
Ta9(NiS3)2,mp-3824,0.0,6.07136862,0.0,"{73: 9, 28: 2, 16: 6}","[16, 28, 73]",166282739,Ta9Ni2S6
NiH6(CO3)2,mp-1195478,4.0189,0.29622566,0.06813683911111212,"{28: 1, 1: 6, 6: 2, 8: 6}","[1, 6, 8, 28]",166286281,Ni1H6C2O6
Na2NiH6C4N4O3,mp-728713,3.4164000000000003,-1.57057832,0.23213070658333468,"{11: 2, 28: 1, 1: 6, 6: 4, 7: 4, 8: 3}","[1, 6, 7, 8, 11, 28]",16647483112281,Na2Ni1H6C4N4O3
NiPH6NO5,mp-735535,3.6025,1.29424693,0.0,"{28: 1, 15: 1, 1: 6, 7: 1, 8: 5}","[1, 7, 8, 15, 28]",167185151281,Ni1P1H6N1O5
NiH6(NCl)2,mp-1220093,0.7874000000000001,1.54353704,0.03054286125000072,"{28: 1, 1: 6, 7: 2, 17: 2}","[1, 7, 17, 28]",1672172281,Ni1H6N2Cl2
NiH6(BrN)2,mp-1220108,0.5768000000000001,1.35004292,0.030348403977271232,"{28: 1, 1: 6, 35: 2, 7: 2}","[1, 7, 28, 35]",1672281352,Ni1H6Br2N2
La3FeNiS7,mp-1191594,0.0,6.13610007,0.12109336451190789,"{57: 3, 26: 1, 28: 1, 16: 7}","[16, 26, 28, 57]",167261281573,La3Fe1Ni1S7
Cu4NiGe2S7,mp-1104755,0.0,4.67450453,0.013510673690474206,"{29: 4, 28: 1, 32: 2, 16: 7}","[16, 28, 29, 32]",167281294322,Cu4Ni1Ge2S7
Nd3GaNiS7,mp-1191831,0.0,4.62196766,0.017867326263891314,"{60: 3, 31: 1, 28: 1, 16: 7}","[16, 28, 31, 60]",167281311603,Nd3Ga1Ni1S7
Sm3GaNiS7,mp-1192232,0.0,4.57061117,0.03552215919416213,"{62: 3, 31: 1, 28: 1, 16: 7}","[16, 28, 31, 62]",167281311623,Sm3Ga1Ni1S7
